29.31,POSITIVE,Hello.,2026-07-28T12:00:11.730742
20.65,POSITIVE,Good day.,2026-07-28T12:00:11.761950
19.95,NEGATIVE,How are you,2026-07-28T12:00:11.791675
26.62,POSITIVE,Thank you,2026-07-28T12:00:11.827813
18.17,POSITIVE,Yes please,2026-07-28T12:00:11.856578
17.97,NEGATIVE,No thanks,2026-07-28T12:00:11.883933
17.92,NEGATIVE,Lets go,2026-07-28T12:00:11.910053
18.51,POSITIVE,See you soon,2026-07-28T12:00:11.936672
19.58,POSITIVE,Have a nice day,2026-07-28T12:00:11.963494
18.20,POSITIVE,Okay sounds good,2026-07-28T12:00:11.989100
21.16,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2026-07-28T12:00:12.017347
21.41,POSITIVE,I am very happy with the service provided it exceeded my expectations,2026-07-28T12:00:12.046647
22.25,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2026-07-28T12:00:12.076723
21.91,POSITIVE,This product is amazing I would highly recommend it to everyone,2026-07-28T12:00:12.105836
21.83,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2026-07-28T12:00:12.134691
21.78,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2026-07-28T12:00:12.164497
22.44,POSITIVE,The quality is excellent and the price is very reasonable great value,2026-07-28T12:00:12.194830
23.14,POSITIVE,I had a fantastic time and will definitely be returning in the future,2026-07-28T12:00:12.225386
21.52,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2026-07-28T12:00:12.254863
22.98,POSITIVE,I could not be happier with the outcome truly exceptional work,2026-07-28T12:00:12.285811
23.27,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2026-07-28T12:00:12.316109
22.73,NEGATIVE,I am very disappointed with the service it was far below my expectations,2026-07-28T12:00:12.346199
24.79,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2026-07-28T12:00:12.379296
24.06,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2026-07-28T12:00:12.410759
22.88,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2026-07-28T12:00:12.440821
22.99,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2026-07-28T12:00:12.471090
22.39,NEGATIVE,The quality is terrible and the price is outrageous absolutely no value for money,2026-07-28T12:00:12.501416
24.97,NEGATIVE,I had a terrible time and would strongly advise everyone to avoid this place in the future,2026-07-28T12:00:12.533382
24.03,NEGATIVE,The atmosphere was unpleasant and the whole experience was incredibly disappointing,2026-07-28T12:00:12.565540
23.99,NEGATIVE,I could not be more unhappy with the result completely unacceptable and unprofessional work,2026-07-28T12:00:12.597623
25.29,NEGATIVE,While the plot was confusing the acting was superb but the ending made little sense What did you think,2026-07-28T12:00:12.631035
25.04,NEGATIVE,Although it started promisingly the second half of the book really let me down which is a shame,2026-07-28T12:00:12.664211
